Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
BungeeCord1,net.md_5.bungee.api.event,ProxyReloadEvent,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee.api.event,ServerConnectedEvent,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: player; server
BungeeCord1,net.md_5.bungee.api.event,ServerConnectEvent,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Event; Cancellable
BungeeCord1,net.md_5.bungee.api.event,ServerConnectEvent,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ServerConnectRequest; ServerConnectEvent; ProxiedPlayer; Title
BungeeCord1,net.md_5.bungee.api.event,ServerConnectEvent.Reason,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
BungeeCord1,net.md_5.bungee.api.event,ServerConnectEvent.Reason,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee.api.event,ServerDisconnectEvent,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: player; target
BungeeCord1,net.md_5.bungee.api.event,ServerKickEvent,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Event; Cancellable
BungeeCord1,net.md_5.bungee.api.event,ServerKickEvent.State,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
BungeeCord1,net.md_5.bungee.api.event,ServerKickEvent.State,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee.api.event,ServerSwitchEvent,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: player; from
BungeeCord1,net.md_5.bungee.api.event,ServerSwitchEvent,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee.api.event,SettingsChangedEvent,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: player
BungeeCord1,net.md_5.bungee.api.event,TabCompleteEvent,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): TargetedEvent; Cancellable
BungeeCord1,net.md_5.bungee.api.event,TabCompleteResponseEvent,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): TargetedEvent; Cancellable
BungeeCord1,net.md_5.bungee.api.event,TargetedEvent,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: sender; receiver
BungeeCord1,net.md_5.bungee.api.plugin,Command,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: PlayerCommand; CommandBungee; CommandEnd; CommandPerms; CommandReload; CommandAlert; CommandAlertRaw; CommandKick; CommandList; CommandSend; CommandServer
BungeeCord1,net.md_5.bungee.api.plugin,Event,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: AsyncEvent; ClientConnectEvent; PermissionCheckEvent; PlayerDisconnectEvent; PlayerHandshakeEvent; ProxyReloadEvent; ServerConnectedEvent; ServerConnectEvent; ServerDisconnectEvent; ServerKickEvent; ServerSwitchEvent; SettingsChangedEvent; TargetedEvent
BungeeCord1,net.md_5.bungee.api.plugin,Plugin,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: PluginManager; ProxyServer; TaskScheduler; ScheduledTask; Plugin; PluginLogger; GroupedThreadFactory; PluginClassloader
BungeeCord1,net.md_5.bungee.api.plugin,PluginDescription,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: name; main; version; author; depends; softDepends; file; description; libraries
BungeeCord1,net.md_5.bungee.api.plugin,PluginManager,Feature Envy,The tool detected a instance of this smell because dispatchCommand is more interested in members of the type: ProxyServer
BungeeCord1,net.md_5.bungee.api.plugin,DummyPlugin,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: INSTANCE
BungeeCord1,net.md_5.bungee.api.scheduler,GroupedThreadFactory,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: PluginManager; ProxyServer; TaskScheduler; ScheduledTask; Plugin; PluginLogger; GroupedThreadFactory; PluginClassloader
BungeeCord1,net.md_5.bungee.api.scheduler,GroupedThreadFactory.BungeeGroup,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
BungeeCord1,net.md_5.bungee.api.scheduler,GroupedThreadFactory.BungeeGroup,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee.api.scheduler,TaskScheduler.Unsafe,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee.api.score,Objective,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name; value; type
BungeeCord1,net.md_5.bungee.api.score,Position,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
BungeeCord1,net.md_5.bungee.api.score,Score,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: itemName; scoreName; value
BungeeCord1,net.md_5.bungee.command,PlayerCommand,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Command; TabExecutor
BungeeCord1,net.md_5.bungee.command,CommandBungee,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
BungeeCord1,net.md_5.bungee.command,CommandEnd,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
