Project Name,Package Name,Architecture Smell,Cause of the Smell
BungeeCord1,net.md_5.bungee,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.md_5.bungee; net.md_5.bungee.netty; net.md_5.bungee
BungeeCord1,net.md_5.bungee,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.md_5.bungee; net.md_5.bungee.forge; net.md_5.bungee
BungeeCord1,net.md_5.bungee,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.md_5.bungee; net.md_5.bungee.connection; net.md_5.bungee
BungeeCord1,net.md_5.bungee,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.md_5.bungee; net.md_5.bungee.util; net.md_5.bungee
BungeeCord1,net.md_5.bungee,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.md_5.bungee; net.md_5.bungee.tab; net.md_5.bungee
BungeeCord1,net.md_5.bungee,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.md_5.bungee; net.md_5.bungee.entitymap; net.md_5.bungee
BungeeCord1,net.md_5.bungee,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.md_5.bungee; net.md_5.bungee.connection; net.md_5.bungee.http; net.md_5.bungee.netty; net.md_5.bungee
BungeeCord1,net.md_5.bungee.api.chat,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): net.md_5.bungee.api; net.md_5.bungee.api.chat.hover.content; net.md_5.bungee.chat
BungeeCord1,net.md_5.bungee.api.chat,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseComponent; ClickEvent; ComponentBuilder; ComponentStyle; ComponentStyleBuilder; HoverEvent; KeybindComponent; ScoreComponent; SelectorComponent; TextComponent; TranslatableComponent; TranslationProvider; ComponentsBuilderTest; ComponentsFormatTest; ComponentsLegacyTest; ComponentsTest; TranslatableComponentTest]; [ClickEvent.Action]; [ComponentBuilder.FormatRetention]; [ComponentBuilder.Joiner]; [HoverEvent.Action]; [ItemTag]; [ItemTag.Serializer]; [Keybinds]. LCC (Lack of Component Cohesion) = 0.33
BungeeCord1,net.md_5.bungee.api.chat,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.md_5.bungee.api.chat; net.md_5.bungee.api.chat.hover.content; net.md_5.bungee.api.chat
BungeeCord1,net.md_5.bungee.api.chat,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.md_5.bungee.api.chat; net.md_5.bungee.chat; net.md_5.bungee.api.chat
BungeeCord1,net.md_5.bungee.chat,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseComponentSerializer; ComponentSerializer; ComponentStyleSerializer; KeybindComponentSerializer; ScoreComponentSerializer; SelectorComponentSerializer; TextComponentSerializer; TranslatableComponentSerializer]; [TranslationRegistry]; [TranslationRegistry.TranslationProvider]; [TranslationRegistry.ResourceBundleProvider]; [TranslationRegistry.JsonProvider]. LCC (Lack of Component Cohesion) = 0.42
BungeeCord1,net.md_5.bungee.event,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EventBus; EventHandlerMethod; EventBusTest; EventPriorityTest; SubclassTest; UnregisteringListenerTest; EventPriority; EventPriorityTest.EventPriorityListenerPartner]; [EventBusTest.FirstEvent]; [EventBusTest.SecondEvent]; [EventPriorityTest.PriorityTestEvent]; [UnregisteringListenerTest.TestEvent]. LCC (Lack of Component Cohesion) = 0.42
